sample_id,cram_url,md5sum
NA20787,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239860/NA20787.final.cram,2ac07f45b33024d499b09863dce564ac
NA20797,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239865/NA20797.final.cram,7c9f394f535944d695ab59206b6940e5
HG00243,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240207/HG00243.final.cram,fdf834b91195082f2f9423633d2dc4d4
HG00245,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240209/HG00245.final.cram,f85cae75a8477809c9c1a6e49be98cb1
HG00257,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240214/HG00257.final.cram,bb6f4dade7d8cf16c48321ccfd6bb95b
HG00265,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240222/HG00265.final.cram,c335638156a5cf1e0db8b94493852a90
HG00271,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240227/HG00271.final.cram,01516380f113ba9270217d1584de29e9
NA20811,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239879/NA20811.final.cram,e1154abcc2251829e70c8bf507d48d56
HG00272,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240228/HG00272.final.cram,2c49c9039e76096aa74b2691d7dcb723
HG00311,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240233/HG00311.final.cram,1b73dbfa06609e41a348d2ae1024bf5f
HG00315,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240235/HG00315.final.cram,779194510afb70bf52dc4069c97e8b04
HG00323,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240240/HG00323.final.cram,9698e5ed428c4eecc18e76cbb1f0b1bc
HG00339,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240247/HG00339.final.cram,685b717bdd55dffc1400a275981dc8c7
